Season,Week,Celebrity,Judge_Score,Estimated_Fan_Pct,Estimated_Fan_Rank,Certainty_Std,Model_Alpha,Model_Beta,Fit_Status
5,2,Wayne Newton,0.0630252100840336,1.6384838205401128e-07,11,0.15,8.0,0.0,Failed_to_Fit
5,2,Marie Osmond,0.1008403361344537,0.0037730270244374156,3,0.15,8.0,0.0,Failed_to_Fit
5,2,Mark Cuban,0.0756302521008403,1.755116183670243e-05,9,0.15,8.0,0.0,Failed_to_Fit
5,3,Cameron Mathison,0.0962343096234309,0.19479242957989218,3,0.054714366787478756,8.0,0.0,Converged
5,3,Jane Seymour,0.1129707112970711,0.0021732925410108688,6,0.0007405069262963714,8.0,0.0,Converged
5,3,Sabrina Bryan,0.1129707112970711,0.1890168322145907,4,0.05489275802919694,8.0,0.0,Converged
5,3,Jennie Garth,0.1087866108786611,8.973466279276508e-05,9,3.117840047108406e-05,8.0,0.0,Converged
5,3,Floyd Mayweather Jr. ,0.0878661087866108,0.33503854791698506,1,0.0760634104142463,8.0,0.0,Converged
5,3,Helio Castroneves,0.100418410041841,0.0019048047377066121,7,0.0006761094115216435,8.0,0.0,Converged
5,3,Mel B,0.1129707112970711,0.05342236122527678,5,0.01774362778122557,8.0,0.0,Converged
5,3,Wayne Newton,0.0753138075313807,9.977344271994154e-06,10,3.7804232093644063e-06,8.0,0.0,Converged
5,3,Marie Osmond,0.1087866108786611,0.2224741553013192,2,0.05880093771691516,8.0,0.0,Converged
5,3,Mark Cuban,0.0836820083682008,0.0010778644761542913,8,0.0003595733715847233,8.0,0.0,Converged
5,4,Cameron Mathison,0.1153846153846153,0.18793009248896125,4,0.15,8.0,0.0,Failed_to_Fit
5,4,Jane Seymour,0.1111111111111111,0.002118162108427398,6,0.15,8.0,0.0,Failed_to_Fit
5,4,Sabrina Bryan,0.1282051282051282,0.18986225657551606,3,0.15,8.0,0.0,Failed_to_Fit
5,4,Jennie Garth,0.1153846153846153,8.970856226382945e-05,9,0.15,8.0,0.0,Failed_to_Fit
5,4,Floyd Mayweather Jr. ,0.0982905982905982,0.33720834492081414,1,0.15,8.0,0.0,Failed_to_Fit
5,4,Helio Castroneves,0.1153846153846153,0.001971283749344002,7,0.15,8.0,0.0,Failed_to_Fit
5,4,Mel B,0.1111111111111111,0.05325202220371416,5,0.15,8.0,0.0,Failed_to_Fit
5,4,Marie Osmond,0.1111111111111111,0.22651444183419575,2,0.15,8.0,0.0,Failed_to_Fit
5,4,Mark Cuban,0.094017094017094,0.001053687556763547,8,0.15,8.0,0.0,Failed_to_Fit
5,5,Cameron Mathison,0.1306532663316583,0.28089567974812946,3,0.06758346084471607,8.0,0.0,Converged
5,5,Jane Seymour,0.1306532663316583,0.0034399822299612725,5,0.0011576994374030932,8.0,0.0,Converged
5,5,Sabrina Bryan,0.1407035175879397,0.28737005198045673,2,0.07103798349406339,8.0,0.0,Converged
5,5,Jennie Garth,0.1256281407035175,0.00014753202259409751,8,5.002137071507769e-05,8.0,0.0,Converged
5,5,Helio Castroneves,0.1155778894472361,0.0032102202894527254,6,0.0012087961555256258,8.0,0.0,Converged
5,5,Mel B,0.1457286432160804,0.08055152332843722,4,0.02430562023976521,8.0,0.0,Converged
5,5,Marie Osmond,0.1055276381909547,0.3427523363704504,1,0.07854969464270097,8.0,0.0,Converged
5,5,Mark Cuban,0.1055276381909547,0.0016326740305179274,7,0.0005821934760103102,8.0,0.0,Converged
5,6,Cameron Mathison,0.1388888888888889,0.28399472557480754,3,0.15,8.0,0.0,Failed_to_Fit
5,6,Jane Seymour,0.1222222222222222,0.0032009076286764904,5,0.15,8.0,0.0,Failed_to_Fit
5,6,Sabrina Bryan,0.1388888888888889,0.28691455816925415,2,0.15,8.0,0.0,Failed_to_Fit
5,6,Jennie Garth,0.15,0.00013556508265605865,7,0.15,8.0,0.0,Failed_to_Fit
5,6,Helio Castroneves,0.1555555555555555,0.002978949140132581,6,0.15,8.0,0.0,Failed_to_Fit
5,6,Mel B,0.1666666666666666,0.08047297392212842,4,0.15,8.0,0.0,Failed_to_Fit
5,6,Marie Osmond,0.1277777777777777,0.3423023204823448,1,0.15,8.0,0.0,Failed_to_Fit
5,7,Cameron Mathison,0.1634615384615384,0.39961100519882053,2,0.09382764937568613,8.0,0.0,Converged
5,7,Jane Seymour,0.1602564102564102,0.0045153326330254215,4,0.0015313973708165113,8.0,0.0,Converged
5,7,Jennie Garth,0.1698717948717948,0.00019578799408063983,6,6.895217181289078e-05,8.0,0.0,Converged
5,7,Helio Castroneves,0.1666666666666666,0.004397984884092428,5,0.0016649093441586263,8.0,0.0,Converged
5,7,Mel B,0.173076923076923,0.11425756427408304,3,0.033664643427693756,8.0,0.0,Converged
5,7,Marie Osmond,0.1666666666666666,0.47702232501589803,1,0.09943964459403011,8.0,0.0,Converged
5,8,Cameron Mathison,0.1939163498098859,0.4000576317584179,2,0.15,8.0,0.0,Failed_to_Fit
5,8,Jennie Garth,0.1901140684410646,0.00019096779282343104,5,0.15,8.0,0.0,Failed_to_Fit
5,8,Helio Castroneves,0.2167300380228136,0.004196385463561346,4,0.15,8.0,0.0,Failed_to_Fit
5,8,Mel B,0.2129277566539923,0.11336065239480438,3,0.15,8.0,0.0,Failed_to_Fit
5,8,Marie Osmond,0.1863117870722433,0.48219436259039283,1,0.15,8.0,0.0,Failed_to_Fit
5,9,Jennie Garth,0.2478632478632478,0.0003539454725925362,4,0.00013732819303556172,8.0,0.0,Converged
5,9,Helio Castroneves,0.2564102564102564,0.007869705160783337,3,0.0030239942255428274,8.0,0.0,Converged
5,9,Mel B,0.2564102564102564,0.19673526322409224,2,0.06600593186955868,8.0,0.0,Converged
5,9,Marie Osmond,0.2393162393162393,0.7950410861425319,1,0.06690082398097577,8.0,0.0,Converged
6,2,Cristian de la Fuente,0.0778210116731517,0.0870524920100719,5,0.023672786328286115,0.5,0.0,Converged
6,2,Steve Guttenberg,0.0622568093385214,0.09138137812661185,4,0.02155224973283827,0.5,0.0,Converged
6,2,Priscilla Presley,0.0817120622568093,0.06419894370055136,10,0.01595573395163858,0.5,0.0,Converged
6,2,Marlee Matlin,0.0933852140077821,0.08570178133774395,6,0.02397872727016894,0.5,0.0,Converged
6,2,Shannon Elizabeth,0.0933852140077821,0.06352991106618741,11,0.017621869134628012,0.5,0.0,Converged
6,2,Marissa Jaret Winokur,0.0817120622568093,0.10262576736542094,3,0.028520999586044368,0.5,0.0,Converged
6,2,Jason Taylor,0.1050583657587548,0.10504261963816139,2,0.027643397750351868,0.5,0.0,Converged
6,2,Kristi Yamaguchi,0.1050583657587548,0.07465834731473837,8,0.021037086171212905,0.5,0.0,Converged
6,2,Monica Seles,0.0583657587548638,0.06211123921494883,12,0.00927394500065125,0.5,0.0,Converged
